"ID","地域","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"277","金沢市","36.6152133","136.696772","スポーツ施設","その他","","","","","森本こどもグラウンド","","920-3113","金沢市塚崎町ハ47-1","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"278","金沢市","36.598949","136.620837","スポーツ施設","その他","","","","","鞍月広場","","920-8203","金沢市鞍月4-21","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"279","金沢市","36.635538","136.64903","スポーツ施設","その他","","","","","湊野球場","","920-0211","金沢市湊2-123","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"280","金沢市","36.633739","136.646533","スポーツ施設","その他","","","","","湊運動公園","","920-0211","金沢市湊2-86","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"281","金沢市","36.555339","136.759095","スポーツ施設","その他","","","","","医王山運動広場","","920-1102","金沢市二俣町阿10","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"282","金沢市","36.587785","136.653072","スポーツ施設","その他","スポーツ施設","テニスコート","","","浅野運動広場・浅野テニスコート","","920-0841","金沢市浅野本町ホ131","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"283","金沢市","36.625125","136.757732","スポーツ施設","その他","","","","","加賀朝日町グラウンドゴルフ場","","920-0114","金沢市加賀朝日町北6","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"284","金沢市","36.601868","136.684942","スポーツ施設","その他","","","","","法光寺運動広場","","920-3132","金沢市法光寺町ト11-2","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"285","金沢市","36.5945723","136.7176652","スポーツ施設","その他","","","","","金沢テクノパーク運動広場","","920-0177","金沢市北陽台2-46","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"286","金沢市","36.625138","136.67269","スポーツ施設","その他","","","","","こなん水辺グラウンドゴルフ場","","920-3121","金沢市大場町西427-1","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"287","金沢市","36.562936","136.617265","スポーツ施設","その他","","","","","伏見川スポーツ公園","","921-8016","金沢市東力町","076-291-6450","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"288","金沢市","36.554736","136.61245","スポーツ施設","その他","","","","","西金沢少年運動広場","","921-8054","金沢市西金沢3-128","076-241-0882","","","","","","","http://www.kanazawa-sports.jp/sisetu/hiroba.htm"
"2739","金沢市","36.595805","136.657283","スポーツ施設","その他","","","","","ジュニアスポーツコート","","920-0012","金沢市磯部町地内","076-251-8189","","","","","","",""
"2740","金沢市","36.556861","136.623166","スポーツ施設","その他","","","","","伏見川グラウンド","","921-8044","金沢市米泉町10丁目1-9","076-241-0882","","","","","","",""
"2741","金沢市","36.563371","136.619185","スポーツ施設","その他","","","","","西部市民憩いの家","","921-8016","金沢市東力町ハ２５６","076-291-4520","","","","","","",""
"3493","金沢市","36.597381","136.657041","スポーツ施設","その他","","","","","スポーツ交流広場","","920-0012","金沢市磯部町地内","076-251-8189","","","午前９時から午後９時まで","年末年始（１２月２８日から翌年１月３日まで）","","",""
"3494","金沢市","36.596811","136.659835","スポーツ施設","プール","","","","","金沢プール","","920-0012","金沢市磯部町ハ55","076-251-3535","076-251-3536","","午前９時から午後９時まで","毎週月曜日（祝日の場合は翌日）年末年始（１２月２８日から翌年１月３日まで）","","",""
