"ID","地域","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"504","金沢市","36.532459","136.666768","観光","歴史・文化施設","観光","寺社","観光","庭園・公園","野田山(墓地)","金沢最大の墓地であり、前田家墓地をはじめ多くの著名人や市民の墓がある。","921-8104","金沢市野田","","","","","","","",""
"505","金沢市","36.566594","136.662106","観光","歴史・文化施設","観光","庭園・公園","観光","その他","白鳥路","石川門下から大手堀方向へと続く散歩道であり、大手堀近くに白鳥の像がたたずんでいる。天然の緑のトンネルの下を歩いて行くと、金沢ゆかりの三文豪をはじめ、いろいろな彫刻と出会うことができる彫刻の小径となっている。","920-0937","金沢市丸の内","076-220-2356","","","","","","",""
"506","金沢市","36.572587","136.666548","観光","歴史・文化施設","観光","その他","","","ひがし茶屋街","金沢市内にある三茶屋街の一つであり、国の重要伝統的建造物群保存地区。キムスコ(木虫籠)と呼ばれる美しい出格子がある古い街並みが残る。","920-0831","金沢市東山","","","","","","","",""
"507","金沢市","36.555363","136.656393","観光","歴史・文化施設","観光","その他","","","三宅雪嶺生家跡","金沢市立新竪町小学校運動場に隣接した小公園の奥に立つ。記念碑にはめこまれたレリーフは、深い思索と英知にあふれ、ありし日の雪嶺の面影を忍ぶことができる。","","金沢市","","","","","","","",""
"508","金沢市","36.554822","136.654723","観光","歴史・文化施設","観光","その他","","","室生犀星文学碑","金沢の三文豪の一人・室生犀星の文学碑。「小景異情」の一節あんずの詩が刻まれている","920-0975","金沢市中川除町犀川河畔","","","","","","","",""
"509","金沢市","36.533985","136.661661","観光","歴史・文化施設","観光","寺社","観光","その他","室生犀星の墓","金沢の三文豪の一人・室生犀星が眠る墓。野田山墓地の一角にある。","921-8104","金沢市野田町","","","","","","","",""
"510","金沢市","36.572981","136.66298","観光","庭園・公園","観光","その他","","","中の橋","浅野川にかかる橋で、泉鏡花の「化鳥」「照葉狂言」の舞台。橋を渡るごとに一文支払ったことから別名「一文橋」とも言われていた。","920-0908","金沢市主計町付近","","","","","","","",""
"511","金沢市","36.572755","136.661312","観光","庭園・公園","","","","","彦三緑地","六代加賀藩主 前田吉徳(よしのり)から藩士 遠田自省(よりみ)（勘右衛門）が拝領したといわれるツツジ（遠田のつつじ）が残る日本庭園風の緑地。","920-0901","金沢市彦三1-8","076-220-2356","","","","","","",""
"512","金沢市","36.571092","136.678103","観光","庭園・公園","観光","その他","","","望湖台(卯辰山公園)","標高141mの望湖台からは、金沢の黒光りする屋根瓦の町並みや日本海・白山連峰まで一望することができる。江戸時代には、城を見下ろす場所であったため一般の入山は禁止されていた。","920-0833","金沢市末広町地内","076-220-2356","","","","","","",""
"513","金沢市","36.559851","136.671204","観光","その他","","","","","馬坂","宝町と天神町を結ぶ坂。昔、小立野と田井村を往復する農夫が使った馬道である。坂の途中には不動尊が鎮座している。","920-0927","金沢市扇町","","","","","","","",""
"514","金沢市","36.577912","136.648904","観光","その他","","","","","金沢駅(鼓門・もてなしドーム)","金沢の玄関口。東広場では、金沢を訪れる人に差し出す雨傘をイメージし、おもてなしの心を表わしたガラスのドーム「もてなしドーム」や、伝統芸能に使われる鼓をイメージした「鼓門」を見ることができる。","920-0858","金沢市木ノ新保町1-1","","","","","","","",""
"516","金沢市","36.559638","136.668747","観光","その他","","","","","木曽坂","小立野台地にある坂。木曽の山中のような幽すいなところであることからこの名がつけられた。","920-0933","金沢市東兼六町","","","","","","","",""
"517","金沢市","36.485789","136.757673","観光","その他","","","","","白鷺の足湯","金沢の奥座敷“湯涌温泉街”にある足湯。","920-1122","金沢市湯涌温泉街","076-235-1380","","","午前9時から午後9時まで","毎月第3木曜日","無料","",""
"518","金沢市","36.561919","136.656927","観光","その他","","","","","辰巳用水","1631年の金沢城大火の後、防火のために犀川の水を引いて造られた用水。","","金沢市内","","","","","","","",""
"519","金沢市","36.557735","136.675721","観光","その他","","","","","天神坂","小立野から椿原神社の横を通り、浅野川の川岸平地に続く坂道。","920-0925","金沢市天神町1丁目","","","","","","","",""
"520","金沢市","36.559416","136.673065","観光","その他","","","","","天神町通り","藩政時代、農民が馬を引いてしばしば上下したことからその名がついた馬坂から、菅原道真を祀り、「天満様」と呼ばれる椿原神社に至る古い家並が続く通り。","920-0925","金沢市天神町","","","","","","","",""
"521","金沢市","36.55406","136.668401","観光","その他","","","","","二十人坂","藩政時代、足軽二十人組が住んでいたことから名付けられた坂。","920-0935","金沢市石引2丁目","","","","","","","",""
"522","金沢市","36.561816","136.665944","観光","その他","","","","","八坂五山","かつて付近に木こりが通う八つの坂があり、そのうちの残った1つが八坂と名付けられた。延長約50mのすらりと真っ直ぐに伸びた美しい坂道。","920-0933","金沢市東兼六町","","","","","","","",""
"523","金沢市","36.613566","136.606525","観光","その他","","","","","みなと橋","大野川にかかる橋。","920-0331","金沢市大野町","","","","","","","",""
"524","金沢市","36.555654","136.666191","観光","その他","","","","","嫁坂","本多町の奥から小立野へと上る坂。藩政時代初期、篠原出羽守が娘を本庄主馬に嫁がせる時に、荷物を運ぶために切り開いたと伝えられる坂道。","920-0935","金沢市石引","","","","","","","",""
"1986","金沢市","36.559025","136.648203","文化・芸術","","観光","歴史・文化施設","","","室生犀星記念館","金沢の三文豪のひとりで犀川をこよなく愛し、金沢を舞台にした作品も数多く残した、室生犀星の記念館です。犀川近くの生誕地跡に建ち、犀星の作品や直筆の原稿、実際に使っていた仕事机やタンスをはじめとする遺品などを多数展示しています。","921-8023","金沢市千日町3-22","076-245-1108","076-245-1205","saisei@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料 ※別料金の場合があります。","","http://www.kanazawa-museum.jp/saisei/"
"1987","金沢市","36.571444","136.663096","文化・芸術","","観光","歴史・文化施設","","","泉鏡花記念館","金沢の三文豪の一人、泉鏡花の世界をさまざまな角度からとらえ紹介した記念館。鏡花が生まれ育った当時の面影を色濃く残す茶屋街や｢義血俠血｣の舞台として知られる浅野川に程近い、鏡花の生家跡に建てられています。","920-0910","金沢市下新町2-3","076-222-1025","076-222-1040","kyoka@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料 ※別料金の場合があります。","","http://www.kanazawa-museum.jp/kyoka/"
"1988","金沢市","36.570902","136.667162","文化・芸術","","観光","歴史・文化施設","","","徳田秋聲記念館","金沢の三文豪の一人で「女性を描かせたら神様」と評された自然主義作家・徳田秋聲を紹介する記念館です。ゆかりの場所である「ひがし茶屋街」に近接し、多くの遺品、直筆原稿、初版本を展示する他、忠実に再現された書斎や代表作を和紙人形で紹介するシアターがあります。","920-0831","金沢市東山1-19-1","076-251-4300","076-251-4301","shusei@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料 ※別料金の場合があります。","","http://www.kanazawa-museum.jp/shusei/"
"1989","金沢市","36.485932","136.75746","文化・芸術","","観光","歴史・文化施設","","","金沢湯涌夢二館","独特の美人画で知られる詩人画家・竹久夢二が最愛の女性・笠井彦乃と幸せな時を過ごした地、湯涌温泉に立地します。画家・詩人・デザイナーなど、多くの才能を持つ夢二の豊かな芸術の世界を紹介しています。","920-1123","金沢市湯涌町イ144-1","076-235-1112","076-235-1115","yumeji@kanazawa-museum.jp","9:00〜17:30(入館は17:00まで)","年中無休(ただし展示替期間は休館)","一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。","","http://www.kanazawa-museum.jp/yumeji/"
"1990","金沢市","36.569249","136.663557","文化・芸術","","観光","歴史・文化施設","","","寺島蔵人邸","加賀藩士であり画人でもあった寺島蔵人の家屋・土蔵・土塀は、江戸時代中期の中級武家屋敷の姿を伝えるものとして、隣接する池泉回遊式の庭園とともに金沢市指定史跡となっています。邸内では同家伝来の書画工芸などを展示しています。","920-0912","金沢市大手町10-3","076-224-2789","076-224-2789","terashima@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料　抹茶料 300円","","http://www.kanazawa-museum.jp/terashima/"
"1991","金沢市","36.562384","136.650883","文化・芸術","","観光","歴史・文化施設","","","前田土佐守家資料館","五代藩主前田綱紀のころ、加賀藩成立初期からの家臣で功績のあった八家を「加賀八家」とし、家臣の中でも最高位の「年寄」に位置付けました。その一つが藩主前田家の分脈にあたる前田土佐守家です。当館では、同家ゆかりの古文書・書画・調度品など約80点を常時展示しています。","920-0981","金沢市片町2-10-17","076-233-1561","076-261-0806","maedatosa@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","展示替期間は休館（年末年始も開館）","一般　300円、65歳以上　200円、高校生以下　無料 ※別料金の場合があります。","","http://www.kanazawa-museum.jp/maedatosa/"
"1992","金沢市","36.571283","136.662707","文化・芸術","","観光","歴史・文化施設","","","金沢蓄音器館","毎日11時、14時、16時にエジソンが発明した蝋管式蓄音器から昭和初期に活躍した大型高級蓄音器まで、実際に音色を聴くことができます。また、日曜日（10時30分、13時30分、15時30分）には、1927年米国ボストン製の自動再演ピアノの調べをお楽しみいただけます。テーマ別鑑賞会も随時開催。","920-0902","金沢市尾張町2-11-21","076-232-3066","076-232-3079","chikuonki@kanazawa-museum.jp","10:00〜17:30(入館は17:00まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料 ※別料金の場合があります。","","http://www.kanazawa-museum.jp/chikuonki/"
"1993","金沢市","36.55877","136.660558","文化・芸術","","観光","美術館・博物館","観光","歴史・文化施設","金沢市立中村記念美術館","茶道美術の名品をはじめ江戸時代の絵画、古九谷、加賀蒔絵、加賀象嵌など、約1,000点を所蔵する金沢の茶道文化と伝統工芸を紹介する美術館です。希望の方には有料で庭園が眺められる呈茶室で抹茶を提供しています。","920-0964","金沢市本多町3-2-29","076-221-0751","076-221-0753","nakamura@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料※別料金の場合があります。茶菓料　200円","","http://www.kanazawa-museum.jp/nakamura/"
"1994","金沢市","36.558145","136.668057","文化・芸術","","観光","美術館・博物館","観光","歴史・文化施設","金沢くらしの博物館","国指定重要文化財である建物は、明治32年に石川県立金沢第ニ中学校として建てられました。昭和53年に民俗文化財展示館として開館し、平成19年に金沢くらしの博物館と改称しました。館内では、戦前戦後のくらしと、高度成長期の電気製品の登場によるくらしの変化、金沢の職人道具の展示をしています。","920-0938","金沢市飛梅町3-31","076-222-5740","076-222-5740","kurashi@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料 ※別料金の場合があります。","","http://www.kanazawa-museum.jp/minzoku/"
"1995","金沢市","36.573757","136.665987","文化・芸術","","観光","美術館・博物館","観光","歴史・文化施設","金沢市立安江金箔工芸館","全国生産量の約99％を占める金沢ならではの金箔を紹介する博物館です。金箔ができるまでの工程や製造道具の説明、美術工芸品の展示をとおして、１万分の１ミリの薄さの金箔の世界に触れることができます。","920-0831","金沢市東山1-3-10","076-251-8950","076-251-8952","kinpaku@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料 ※別料金の場合があります。","","http://www.kanazawa-museum.jp/kinpaku/"
"1996","金沢市","36.559291","136.657889","文化・芸術","","観光","歴史・文化施設","","","金沢ふるさと偉人館","金沢は近代日本を支えた多数の科学者や思想家を輩出した土地です。当館ではこれら偉人（化学者・高峰譲吉、土木技師・八田與一など）の生涯を分野別に常設展示で紹介しています。","920-0993","金沢市下本多町六番丁18-4","076-220-2474","076-220-2197","ijinkan@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","年末年始(12月29日から1月3日)","一般　300円、65歳以上　200円、高校生以下　無料 ※別料金の場合があります。","","http://www.kanazawa-museum.jp/ijin/"
"1997","金沢市","36.56267","136.65035","文化・芸術","","観光","美術館・博物館","観光","歴史・文化施設","金沢市老舗記念館","藩政時代からの薬種商「中屋薬舗」の建物を保存し、当時の商家の面影を残す「みせの間」などを復元しました。２階は金澤老舗百年会の協力による各老舗が秘蔵する貴重な資料の他、金沢の伝統的町民文化に関する品々を展示しています。","920-0865","金沢市長町2-2-45","076-220-2524","076-220-2524","shinise@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","年中無休(ただし展示替期間は休館)","一般　100円、高校生以下　無料","","http://www.kanazawa-museum.jp/shinise/"
"1998","金沢市","36.570819","136.663707","文化・芸術","","観光","歴史・文化施設","","","金沢文芸館","建物は、浅野川大橋近くのランドマーク的存在として市民に親しまれ、市指定保存建造物・国登録有形文化財にもなっています。金沢ゆかりの作家五木寛之氏の愛用品や直筆原稿、泉鏡花文学賞受賞作品が展示されているほか、文学・文芸の活動場所として利用できます。","920-0902","金沢市尾張町1-7-10","076-263-2444","076-263-2443","bungeikan@kanazawa-museum.jp","10:00〜18:00(入館は17:30まで)","火曜日（祝日の場合は翌平日）、年末年始(12月29日から1月3日)","一般　100円、高校生以下　無料","","http://www.kanazawa-museum.jp/bungei/"
"1999","金沢市","36.490854","136.756454","文化・芸術","","観光","歴史・文化施設","","","金沢湯涌江戸村","重要文化財旧石倉家、旧松下家住宅など江戸時代の加賀藩を中心とする文化財建造物を公開しています。自然の中で当時のくらしを感じることができます。","920-1122","金沢市湯涌荒屋町35-1","076-235-1267","076-235-1269","edomura@kanazawa-museum.jp","午前9:00～午後5:30","毎週火曜日（火曜日が休日の場合その翌日）　※1月1日～3日は開園","一般 300円，団体（20人以上） 250円，65歳以上 200円，高校生以下 無料","","http://www.kanazawa-museum.jp/edomura/"
"2000","金沢市","36.55772","136.661369","文化・芸術","","観光","美術館・博物館","観光","歴史・文化施設","鈴木大拙館","D.T.Suzukiとして世界的に知られる金沢出身の仏教哲学者・鈴木大拙の考えや人となりを紹介する施設です。回廊で結ばれた「展示空間」「学習空間」「思索空間」と、「玄関の庭」「水鏡の庭」「露地の庭」で構成され、単にものを鑑賞する場ではなく、これらの空間を回遊しながら、大拙に出会い、思想にふれながら自由に思索できる場となっています。設計は、金沢にゆかりの深い国際的な建築家・谷口吉生氏。","920-0964","金沢市本多町3-4-20","076-221-8011","076-221-8012","daisetz@kanazawa-museum.jp","9:30〜17:00(入館は16:30まで)","毎週月曜日（祝日の場合は翌平日）・年末年始（12月29日から1月3日）・展示替期間","一般　300円、65歳以上　200円、障害者手帳をお持ちの方およびその介護人　200円、高校生以下　無料","","http://www.kanazawa-museum.jp/daisetz/"
"2004","金沢市","36.568385","136.640228","文化・芸術","","観光","歴史・文化施設","","","金沢市民芸術村","金沢市民芸術村は、大正末期から昭和初期に建設された旧紡績工場倉庫群を改修した、演劇、美術、音楽の芸術創造の場です。年中無休、24時間ご利用いただけます。広大な広場は緑にあふれ、いつでも気軽に集える場所として、多くの皆様に愛されています。","920-0046","金沢市大和町1-1","076-265-8300","076-265-8301","geimura@kanazawa-arts.or.jp","平日、日曜祝日とも24時間使用可中学生以下は9:00～18:00まで、高校生は7:00～22:00　ただし成人の指導者（保護者）がいる場合は除く(受付時間は9:00〜21:00 ただし年末年始は9:00～17:00)","保守点検及び工事等のため使用できない場合あり。","ＨＰをご確認ください。","","http://www.artvillage.gr.jp/"
"2005","金沢市","36.57363","136.674915","文化・芸術","","観光","歴史・文化施設","","","金沢卯辰山工芸工房","“育てる、見せる、参加する”を基本テーマに、金沢の伝統工芸の継承発展を図るためにつくられた、「加賀藩御細工所」の精神を現代に生かす工芸の総合施設です。作品や資料の展示に加え、技術研修者の創作活動を見学することもできます。","920-0832","金沢市卯辰町ト10","076-251-7286","076-251-9113","utatsu@kanazawa-arts.or.jp","9:00〜17:00(入館は16:30まで)","火曜日（祝日の場合は翌日）、年末年始（12月29日～1月3日）展示替期間は休館 ※リニューアル工事のため平成30年12月1日より休館予定","一般　300円、65歳以上　200円、高校生以下　無料 ※別料金の場合があります。また、茶室・和室利用料はＨＰをご確認ください。","","http://www.utatsu-kogei.gr.jp/"
"2006","金沢市","36.4943","136.749563","文化・芸術","","観光","歴史・文化施設","","","金沢湯涌創作の森","金沢の奥座敷として古くから親しまれてきた湯涌温泉の入口にあります。明治・大正期の貴重な建物を保存活用するため、里山の新たな文化拠点として整備しました。５つの登録有形文化財を含む古民家群は、藍染・草木染、版画制作のための専門設備をもった工房やギャラリーへ改装、誰もが使える自由な創作活動・作品発表の場となっています。","920-1135","金沢市北袋町ヱ36","076-235-1116","076-235-1070","y-sousaku@kanazawa-arts.or.jp","9:00〜21:00　※宿泊できます。(受付時間、入場・見学は9:00～17:00)","火曜日（祝日の場合はその翌日）、年末年始(12月29日から1月3日)","ＨＰをご確認ください。","","http://www.sousaku-mori.gr.jp/"
"2007","金沢市","36.560867","136.658258","文化・芸術","","観光","美術館・博物館","","","金沢21世紀美術館","金沢21世紀美術館は、兼六園に隣接し、中心部に位置しています。「新しい文化の創造」と「新たなまちの賑わいの創出」を目的に開設されました。ガラス張りの円形の建物で、誰もがいつでも立ち寄ることができる｢まちに開かれた公園のような美術館｣を目指しています。無料ゾーンにも作品があり、体感することができます。","920-8509","金沢市広坂1-2-1","076-220-2800","076-220-2802","bijyutsukan@kanazawa-arts.or.jp","展覧会ゾーン10:00〜18:00（金・土は20:00　※チケットの販売は閉場の30分前まで）無料ゾーン9:00～22:00","月曜日（祝日の場合は直後の翌平日）、年末年始(12月29日から1月3日)、展示替期間は休館","美術館の建物への入館（交流ゾーン）　無料コレクション展　一般　360円、大学生・65歳以上　280円、高校生以下　無料 ※特別展は展覧会毎に異なります。","","http://www.kanazawa21.jp/"
"2008","金沢市","36.561567","136.658122","文化・芸術","","観光","美術館・博物館","","","金沢能楽美術館","金沢能楽美術館は、加賀宝生に伝わる貴重な能面や能装束を収蔵展示する施設として建設されました。「加賀宝生」は、金沢の無形文化財に指定され、「能楽」は、ユネスコの無形文化遺産に登録されています。貴重な美術品と伝統芸能を次世代へ伝え、伝統を現代、さらに未来へと繋げていく新しい文化施設となることをめざしています。","920-0962","金沢市広坂1-2-25","076-220-2790","076-220-2791","noh-museum@kanazawa-arts.or.jp","10:00〜18:00(入館は17:30まで)","月曜日（祝日の場合は翌平日）、年末年始(12月29日から1月3日)、展示替期間は休館","一般　300円、65歳以上　200円、高校生以下　無料 21世紀美術館共通券（コレクション展のみ） 一般　510円、大学生・65歳以上　460円　※別料金の場合があります。","","http://www.kanazawa-noh-museum.gr.jp/"
"2011","金沢市","36.56509","136.649333","文化・芸術","","観光","歴史・文化施設","観光","庭園・公園","旧加賀藩士高田家跡","藩政時代の長屋門を修復し、一般公開している。敷地内には見事な池泉回遊式庭園を配し、藩政時代の面影を残している。","920-0865","金沢市長町2-6-1","076-263-3640","","","午前９時30分から午後５時","無休","無料","",""
"2012","金沢市","36.5661108","136.6499914","文化・芸術","","観光","歴史・文化施設","","","足軽資料館","藩政時代の貴重な足軽屋敷２棟を移築再現したもの。建物の中は、足軽の職務や日常生活の解説・展示がなされており、屋根は昔ながらの石を置いたもので、当時の雰囲気をかもし出している。","920-0865","金沢市長町1-9-3","076-263-3640","","","午前９時30分から午後５時","無休","無料","",""
"2013","金沢市","36.5566619","136.6473336","文化・芸術","","観光","歴史・文化施設","観光","その他","西茶屋資料館","作家島田清次郎が青年期を過ごした「吉米楼」跡に、茶屋家屋の外観を再現した資料館。清次郎に関する資料が展示されているほか、観光ボランティアガイド「まいどさん」が常駐し、周辺散策の案内も行っている。","921-8031","金沢市野町2-25-18","076-247-8110","","","午前９時30分から午後５時","無休","無料","",""
"2014","金沢市","36.5644527","136.6495665","文化・芸術","","観光","歴史・文化施設","観光","その他","長町武家屋敷休憩館","長町にある休憩館。休憩室やトイレ、展示コーナーがあるほか、観光ボランティアガイド「まいどさん」が常駐し、周辺散策の案内も行っている。","920-0865","金沢市長町2-4-36","076-263-1951","","","午前９時から午後５時(12/1～3/15は午前９時30分開館)","無休","無料","",""
"2015","金沢市","36.5723574","136.6658403","文化・芸術","","観光","歴史・文化施設","観光","その他","ひがし茶屋休憩館","江戸時代末期の町家を復元した、東山にある休憩館。観光ボランティアガイド「まいどさん」が常駐し、周辺散策の案内も行っている。","920-0831","金沢市東山1-5-14","076-253-0087","","","午前９時から午後５時(12/1～3/15は午前９時30分開館)","無休","無料","",""
