"ID","地域","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1295","金沢市","36.53583","136.626315","公園","","","","","","横川２丁目児童公園","　","921-8163","金沢市横川2-223","","","","","","","",""
"1296","金沢市","36.535736","136.628314","公園","","","","","","横川２丁目小公園","　","921-8163","金沢市横川2-232-1","","","","","","","",""
"1297","金沢市","36.539131","136.625966","公園","","","","","","横川３丁目児童公園","　","921-8163","金沢市横川3-141","","","","","","","",""
"1298","金沢市","36.541756","136.627522","公園","","","","","","横川５丁目児童公園","　","921-8163","金沢市横川5-414","","","","","","","",""
"1299","金沢市","36.539497","136.630654","公園","","","","","","横川児童公園","　","921-8163","金沢市横川4-2","","","","","","","",""
"1300","金沢市","36.535187","136.623171","公園","","","","","","横川日吉児童公園","　","921-8163","金沢市横川1-68","","","","","","","",""
"1301","金沢市","36.607015","136.677513","公園","","","","","","横枕はすの里公園","　","920-3135","金沢市横枕町ハ80-1","","","","","","","トイレ：男子,小便1,洋式1,女子,洋式1,小児用小便1",""
"1302","金沢市","36.57431","136.655921","公園","","","","","","横安江町広場","　","920-0854","金沢市安江町148","","","","","","","",""
"1303","金沢市","36.565646","136.668735","公園","","","","","","横山町児童公園","　","920-0922","金沢市横山町352","","","","","","","",""
"1304","金沢市","36.609577","136.692517","公園","","","","","","吉原児童公園","　","920-3114","金沢市吉原町ヨ23","","","","","","","トイレ：男女兼用,小便1,和式1",""
"1305","金沢市","36.612203","136.691696","公園","","","","","","吉原町小公園","　","920-3114","金沢市吉原町ニ9-1","","","","","","","",""
"1306","金沢市","36.551417","136.623493","公園","","","","","","米泉町７丁目小公園","　","921-8044","金沢市米泉町7-60-17","","","","","","","",""
"1307","金沢市","36.548453","136.624238","公園","","","","","","米泉町児童公園","　","921-8044","金沢市米泉町6-93-2","","","","","","","",""
"1308","金沢市","36.550855","136.623868","公園","","","","","","米泉町緑地","","921-8044","金沢市米泉町7-69-2","","","","","","","",""
"1309","金沢市","36.570269","136.616417","公園","","","","","","米丸中央公園","　","921-8001","金沢市高畠1-382","","","","","","","トイレ：男女兼用,小便1,和式1",""
"1310","金沢市","36.568697","136.619014","公園","","","","","","米丸町児童公園","　","921-8004","金沢市米丸町113","","","","","","","",""
"1311","金沢市","36.542027","136.66091","公園","","","","","","若草児童公園","　","921-8111","金沢市若草町425-2他","","","","","","","",""
"1312","金沢市","36.542424","136.661875","公園","","","","","","若草町北小公園","　","921-8111","金沢市若草町581","","","","","","","",""
"1313","金沢市","36.541415","136.660314","公園","","","","","","若草町南小公園","　","921-8111","金沢市若草町449","","","","","","","",""
"1314","金沢市","36.557395","136.691165","公園","","","","","","若松町１丁目児童公園","　","920-1165","金沢市若松町1-3-1","","","","","","","",""
"1315","金沢市","36.553521","136.686198","公園","","","","","","若松鈴見３号緑道","　","920-1167","金沢市もりの里2-1032","","","","","","","",""
"1316","金沢市","36.553689","136.690591","公園","","","","","","若松鈴見６号緑道","　","920-1167","金沢市もりの里1-1016","","","","","","","",""
"1317","金沢市","36.549463","136.689328","公園","","","","","","若松鈴見７号緑道","　","920-1167","金沢市もりの里1-1013","","","","","","","",""
"1318","金沢市","36.554172","136.691176","公園","","","","","","若松せせらぎ公園","　","920-1165","金沢市若松町1001","","","","","","","トイレ：男子,小便1,男女兼用,洋式1",""
"1319","金沢市","36.55797","136.693831","公園","","","","","","若松町第２児童公園","　","920-1165","金沢市若松町ツ168-1","","","","","","","",""
"1320","金沢市","36.557416","136.689078","公園","","","","","","若松八幡さん公園","　","920-1165","金沢市若松町3-1000","","","","","","","トイレ：男子,小便1,男女兼用,洋式1",""
"1321","金沢市","36.556184","136.690333","公園","","","","","","若松町児童公園","　","920-1165","金沢市若松町2-164","","","","","","","",""
"1322","金沢市","36.554887","136.69727","公園","","","","","","若松町第３児童公園","　","920-1165","金沢市若松町ツ230","","","","","","","",""
"1323","金沢市","36.573606","136.63134","公園","","","","","","若宮小緑道","　","920-0053","金沢市若宮町1-198","","","","","","","",""
"1324","金沢市","36.575281","136.631217","公園","","","","","","若宮中央公園","　","920-0054","金沢市若宮2-29","","","","","","","トイレ：男子,小便2,和式1,女子,和式2",""
"1325","金沢市","36.533754","136.683993","公園","","","","","","涌波２丁目小緑地","　","920-0953","金沢市涌波2-246-2","","","","","","","",""
"1326","金沢市","36.53508","136.687624","公園","","","","","","涌波４丁目児童公園","　","920-0953","金沢市涌波4-83","","","","","","","",""
"1327","金沢市","36.536536","136.686616","公園","","","","","","涌波４丁目小緑地","　","920-0953","金沢市涌波4-48","","","","","","","",""
"1328","金沢市","36.536808","136.68278","公園","","","","","","わくなみ児童公園","　","920-0953","金沢市涌波2-152","","","","","","","",""
"1329","金沢市","36.5377","136.684867","公園","","","","","","涌波中央公園","　","920-0953","金沢市涌波4-198","","","","","","","",""
"1330","金沢市","36.533321","136.688826","公園","","","","","","涌波堤公園","　","920-0953","金沢市涌波1-199","","","","","","","トイレ：男女兼用,小便1,和式1,バリアフリー対応便器1",""
"1331","金沢市","36.602759","136.64009","公園","","","","","","割出町公園","　","920-0062","金沢市割出町418","","","","","","","トイレ：男子,小便1,和式1,女子,和式1",""
"1332","金沢市","36.603198","136.641514","公園","","","","","","割出町小公園","　","920-0062","金沢市割出町107-8","","","","","","","",""
"1333","金沢市","36.60047","136.638512","公園","","","","","","割出町第２小公園","　","920-0062","金沢市割出町532-6","","","","","","","",""
"2330","金沢市","36.581565","136.622543","公園","","","","","","戸板公園","　","","戸板５丁目８７","","","","","","","",""
"2331","金沢市","36.534485","136.707752","公園","","","","","","太陽が丘しいの木公園","　","","太陽が丘土地区画整理事業地内７工区１１街区","","","","","","","",""
"2332","金沢市","36.553034","136.620178","公園","","","","","","西金沢駅西口公園","　","","西金沢２丁目179番","","","","","","","",""
"2333","金沢市","36.60402","136.590966","公園","","","","","","金石西夕映え広場","　","","金石西２丁目532番","","","","","","","",""
"2334","金沢市","36.619541","136.689384","公園","","","","","","南森本町北小公園","　","","南森本町ホ９１－４５","","","","","","","",""
"2336","金沢市","36.581397","136.60976","公園","","","","","","示野公園","","920-0000","金沢市示野町チ２３３","","","","","","","",""
"2745","金沢市","36.593888","136.671901","公園","","","","","","東金沢スマートタウン小公園","","920-0802","金沢市三池町２３４−９","","","","","","","",""
"2746","金沢市","36.631563","136.705377","公園","","","","","","今町はなみずき小公園","","920-0106","金沢市今町ル２０－１６","","","","","","","",""
"2747","金沢市","36.558075","136.599666","公園","","","","","","森戸１丁目小公園","","921-8061","金沢市森戸１丁目１５０－２０","","","","","","","",""
"2748","金沢市","36.518246","136.628002","公園","","","","","","高尾南３丁目うるる公園","","921-8154","金沢市高尾南３丁目１３３－２","","","","","","","",""
"2749","金沢市","36.543924","136.624115","公園","","","","","","米泉町２丁目ふれあい公園","","","米泉町２丁目７２","","","","","","","",""
"2750","金沢市","36.555732","136.622061","公園","","","","","","米泉町１０丁目公園","","","米泉町１０丁目１－１０１","","","","","","","",""
"2751","金沢市","36.604052","136.625698","公園","","","","","","大友西公園","","","大友町２街区１番地先","","","","","","","",""
"2752","金沢市","36.533916","136.662948","公園","","","","","","野田西公園","","","野田土地区画整理事業地内６街区１番地先","","","","","","","",""
"2753","金沢市","36.535847","136.669385","公園","","","","","","野田東公園","","","野田土地区画整理事業地内６０街区１番地先","","","","","","","",""
"2754","金沢市","36.610511","136.631947","公園","","","","","","近岡町ふれあい小公園","","","近岡町３９５－３","","","","","","","",""
"2755","金沢市","36.541739","136.668393","公園","","","","","","平和町２丁目小公園","","","金沢市平和町２丁目１４３－２２","","","","","","","",""
"2756","金沢市","36.60366","136.710466","公園","","","","","","河原市町みずほ中央公園","","","金沢市河原市町３０","","","","","","","",""
"2757","金沢市","36.603449","136.712011","公園","","","","","","河原市町みずほ東公園","","","金沢市河原市町３５","","","","","","","",""
"3498","金沢市","36.602922","136.63378","公園","","","","","","直江町西屋広場","","920-8203","金沢市副都心北部直江土地区画整理事業地内６８街区１番地先","","","","","","","",""
"3499","金沢市","36.520231","136.687357","公園","","","","","","末町番場公園","","920-1302","金沢市末町１６字２８番","","","","","","","",""
"3578","金沢市","36.525682","136.635705","公園","","","","","","窪南ふれあい公園","","921-8151","金沢市窪３丁目３０５番１","","","","","","","",""
"3579","金沢市","36.578942","136.63157","公園","","","","","","二口町なかよし公園","","920-0053","金沢市若宮町チ48番3","","","","","","","",""
"3580","金沢市","36.592807","136.671058","公園","","","","","","東金沢駅前かがやき公園","","920-0802","金沢市三池町197番53","","","","","","","",""
"3590","金沢市","36.617854","136.638776","公園","","","","","","大河端西あしのこ公園","","920-0000","金沢市副都心北部大河端土地区画整理事業地内22街区3－1番","","","","","","","",""
"5513","金沢市","36.598872","136.732869","公園","","","","","","金沢市三谷さとやま交流広場","金沢市三谷さとやま交流広場は、里山の豊かな自然環境の中で、農林業の体験や市民の交流の場として利用することにより、農林業の振興と周辺地域の活性化を目的とした施設です。","920-0033","日本、〒920-0153 金沢市宮野町ヲ１１番地","","","","","","市民農園の利用（４月から１１月）：１区画６，４８０円
（詳細はお問い合わせください。）","ふれあい交流ルーム等をご利用の場合は、事前にお申込みください。","https://www4.city.kanazawa.lg.jp/17051/index/index.html"
"5527","金沢市","36.511169","136.700702","公園","","","","","","辰巳町なかみち公園","","920-1303","金沢市辰巳町ロ80番１","","","","","","","",""
"5528","金沢市","36.541653","136.664772","公園","","","","","","平和町２丁目西小公園","","921-8105","金沢市平和町二丁目１４２番２１","","","","","","","",""
"5529","金沢市","36.577237","136.665871","公園","","","","","","森山ひらおり広場","","920-0843","金沢市森山１丁目２０","","","","","","","",""
"5530","金沢市","36.565564","136.671721","公園","","","","","","横山町緑地","","920-0922","金沢市横山町１８","","","","","","","",""
